2024-04-14 09:00:00, 8.67, overcast clouds
2024-04-14 12:00:00, 7.38, broken clouds
2024-04-14 15:00:00, 10.48, scattered clouds
2024-04-14 18:00:00, 17.46, scattered clouds
2024-04-14 21:00:00, 21.74, scattered clouds
2024-04-15 00:00:00, 18.69, broken clouds
2024-04-15 03:00:00, 11.44, broken clouds
2024-04-15 06:00:00, 9.3, overcast clouds
2024-04-15 09:00:00, 7.55, overcast clouds
2024-04-15 12:00:00, 4.56, overcast clouds
2024-04-15 15:00:00, 6.59, broken clouds
2024-04-15 18:00:00, 10.54, broken clouds
2024-04-15 21:00:00, 10.41, broken clouds
2024-04-16 00:00:00, 9.74, broken clouds
2024-04-16 03:00:00, 4.39, clear sky
2024-04-16 06:00:00, 3.53, few clouds
2024-04-16 09:00:00, 1.82, overcast clouds
